id,name,area_id,area_name,salary_from,salary_to,salary_currency,employer_id,employer_name,schedule_id,schedule_name,experience_id,experience_name,employment_id,employment_name,employment_form_id,employment_form_name,internship,snippet_requirement,snippet_responsibility,work_format,working_hours,work_schedule,professional_roles,contacts
127994870,Фронтенд-разработчик,1,Москва,190000,290000,RUR,10246537,Кибертех,remote,Удаленная работа,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,Уже имеет коммерческий опыт работы с React от 4-х лет. Работал с React Native хотя бы год.,Создавать удобные и красивые пользовательские интерфейсы для наших сервисов. Проектировать переиспользуемые компоненты для единой библиотеки UI. Интегрировать банковские API и...,Удалённо,8 часов,5/2,"Программист, разработчик",<nil>
127997127,Java-разработчик,1,Москва,,,,1190370,ФБУ НЦПИ при Минюсте России,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"Знание Java, JS. - Понимание языка разметки XML. - Опыт работы с системой контроля версий Git. - Знание принципов и архитектуры web. -","Разработка и поддержка бэкенд-решений для автоматизированных систем. - Сопровождение, документирование и эксплуатирование разработанных систем. - Выявление дефектов и разработка вариантов устранения...",,8 часов,5/2,"Программист, разработчик",<nil>
127986786,Junior Java-разработчик,1,Москва,,,,63198,Gridnine,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,Базовое знакомство с Java SE (от 6 месяцев изучения). Знание основ ООП. Знакомство с принципами тестирования ПО. Знание английского языка...,Написание изолированных и интеграционных тестов с использованием Junit и других технологий. Разработка и сопровождение решений на базе Java-платформы.,На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
127817912,Middle backend developer,1,Москва,300000,,RUR,6076281,SHiFT AM,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,Cтэк: python / redis / PostgreSQL / mogodb / fastapi / asyncio / web3.py. Понимание технологии блокчейн и evm-compatible сетей будет плюсом.,Развивать dApp shiftdefii.com на стороне backend. Поддерживать и развивать white label IT решение.,На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
127987660,Frontend-разработчик,1,Москва,100000,100000,RUR,3508081,Президентская академия ( РАНХиГС ) - Российская академия народного хозяйства и государственной службы при Президенте РФ,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,Опыт создания адаптивной кроссбраузерной верстки. Опыт использования html 5. Опыт работы с любым препроцессором Sass/Less. Опыт работы с Bitrix.,Адаптивная кроссбраузерная верстка страниц сайтов. Соблюдение валидности верстки. Рефакторинг имеющейся кодовой базы/стилей/разметки. Интеграция нового функционала.,На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
127468649,Java-разработчик,1,Москва,,,,2168579,СТЭП ЛОДЖИК (STEP LOGIC),fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"Высшее техническое образование. Опыт работы разработчиком ПО от 1,5 лет. Опыт разработки на языке Java от 1,5 лет.","Проектирование и разработка программного обеспечения для контакт-центров и унифицированных коммуникаций с использованием языка Java, Фреймворк Spring очень желателен.",На месте работодателя; Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
128022420,Senior Frontend (React) Developer,1,Москва,,,,12424815,InOut Games,remote,Удаленная работа,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,Навести порядок в существующем коде и улучшить производительность. Сильный коммерческий опыт с React. Реальный опыт архитектурных задач: дизайн и/или...,"Спроектировать и внедрить общий фреймворк / core-слой для игр. Разработать и развивать кор-функционал / фреймворк: обертки над сетевым взаимодействием, общей...",Удалённо,8 часов,5/2,"Программист, разработчик",<nil>
128043346,Программист Laravel,1,Москва,150000,250000,RUR,3717363,Алло Пицца,remote,Удаленная работа,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"Опыт коммерческой разработки на Laravel от 2 лет. Уверенное знание PHP, понимание ООП и принципов MVC. Навыки работы с MySQL...","Разработка и поддержка веб-приложений на PHP с использованием Laravel. Создание и оптимизация серверной логики (Laravel, Vue.js). Верстка адаптивных интерфейсов...",Удалённо,8 часов,5/2,"Программист, разработчик",<nil>
128046800,Senior Frontend-разработчик,1,Москва,,,,87021,WILDBERRIES,remote,Удаленная работа,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"React (hooks). JavaScript, Browser APIs. Tanstack. TypeScript. State Management (Recoil, Redux, React Query). HTML, CSS-modules (Scss). Webpack, Vite (CRA).","Разработка с нуля или доработка и сопровождение существующих инфраструктурных приложений компании. Участие в проработке архитектуры систем, согласовании пользовательских интерфейсов.",Удалённо; Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
127468596,Frontend React developer,1,Москва,160000,,RUR,581294,Мегаплан,fullDay,Полный день,moreThan6,Более 6 лет,full,Полная занятость,FULL,Полная,false,"Опыт JavaScript разработки от 1 года. Знать React. Приветствуется знание TypeScript, а также Mobx, Webpack, babel, async/await и всякого...",GitLab для совместной работы с кодом.,,8 часов,5/2,"Программист, разработчик",<nil>
127998867,Программист,64,Мурманск,120000,,RUR,4199844,ГОАУЗ Мурманский Областной Медицинский Центр,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,Умение работать в команде и находить общий язык с пользователями. Требования к кандидату: Высшее или среднее профессиональное техническое образование (ИТ...,"Установка, настройка и обновление ОС (Windows, Linux). Диагностика и мелкий ремонт ПК и периферийных устройств (принтеры, сканеры, ИБП).",На месте работодателя,7 часов,5/2,"Программист, разработчик",<nil>
128025570,Senior Frontend разработчик (React),1,Москва,,,,2245,Росгосстрах,remote,Удаленная работа,moreThan6,Более 6 лет,full,Полная занятость,FULL,Полная,false,Коммерческий опыт веб-разработки 5+ лет. Уверенное владение React и TypeScript. Опыт работы с микрофронтами (Webpack Module Federation) и...,"Разрабатывать функциональность клиентских веб-приложений и BFF. Интегрироваться с OpenAPI (генерация типов и клиентов, сопровождение контрактов). Работать в микрофронтовой архитектуре.",Удалённо; Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
127996492,Фронтенд-разработчик,95,Тюмень,,,,1464991,Газпром недра,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,Высшее (или неоконченное) образование (в сфере ИТ). 2. Опыт на позиции фронтенд-разработчика. 3. Опыт работы с любым современным фреймворком...,"6. Интеграция с внешними информационными системами и сервисами (API, 1С ЗУП/Документооборот). 7. Взаимодействие с командой разработчиков и аналитиков.",На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
127865214,Python-разработчик,1,Москва,120000,140000,RUR,12452181,Мир,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,Docker и Docker Compose. Разбираться в документации интегрируемых технологий. Ищем разработчик на python с опытом работы не менее 3х...,Работа с фреймворком FastApi. Поддержа существующей кодовой базы. Работа с фреймворком FastApi. Поддержа существующей кодовой базы.,,8 часов,5/2,"Программист, разработчик",<nil>
128028598,PHP-разработчик (ИТ-компания),99,Уфа,240000,,RUR,798,Экспобанк,remote,Удаленная работа,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"Образование техническое или математическое (бакалавр, магистратура). Знание Laravel (10+). Знание РНР (7.4+), HTML, JavaScript. Интеграция проектов с...",Разработка веб-приложений и помощь в развитии существующих проектов. Разработка нового и развитие старого API сервисов. Интеграция с внутренними и...,На месте работодателя; Удалённо; Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
128022096,Backend-разработчик,88,Казань,80000,150000,RUR,9410321,Веренько Игорь Николаевич,remote,Удаленная работа,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"Работать в моно-репозитории, придерживаясь hexagonal/modular-monolith подходов. Требования. Уверенный Python 3.11+ и хорошее понимание AsyncIO.",Разрабатывать ключевые модули: — динамические сценарии и макросы. — аналитика и событийные логи. — распределение лидов. — биллинг и платежи. Проектировать и реализовывать API...,Удалённо,6 часов; 7 часов; 8 часов,6/1; 5/2,"Программист, разработчик",<nil>
127989446,WEB-разработчик,1,Москва,150000,,RUR,4668498,Миракс,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"Высшее образование. Опыт в разработке web-сервисов. Знание Vue, JS\TS. Git. Будет преимуществом: Умение разбираться в чужом коде.",Разработка пользовательского интерфейса для системы мониторинга. Доработка и изменение текущей кодовой базы. Мигрирование с electron на web-сервис.,На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
127982095,Android разработчик,1,Москва,,,,3884354,Банк Мир Привилегий,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,Успешный опыт коммерческой разработки проектов под Андроид. Опыт работы на Kotlin от 2 лет. Знание современных архитектурных паттернов в разработке...,"Проектировать с нуля отдельные компоненты и целые приложения. Писать качественный, масштабируемый и тестируемый код. Изучать и внедрять в проекты новые...",,8 часов,5/2,"Программист, разработчик",<nil>
127927921,"Frontend разработчик (Middle+), телеком",1,Москва,,,,819979,SkillStaff,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"Релевантный опыт от 3–6 лет. Знание HTML/CSS: семантические элементы, верстать страницы, совместимые с различными браузерами. Уверенные знания JS...","Создавать адаптивные, оптимизированные и кроссбраузерные интерфейсы с использованием Tailwind CSS. Взаимодействовать с командой разработчиков и исследователей для интеграции функционала в...",На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
128032272,Frontend-разработчик,95,Тюмень,120000,120000,RUR,1237073,АТМ АЛЬЯНС,remote,Удаленная работа,between1And3,От 1 года до 3 лет,project,Проектная работа,PROJECT,Проект или разовое задание,false,"Знание и опыт не менее 2 лет в: React, React Native, Typescript, Redux. Понимание компонентного подхода при разработке интерфейсов.",Территориально распределенная команда разработчиков. Существует распределение ролей: фронтендеры тесно работают с аналитиками и бэкендерами.,Удалённо,8 часов,5/2,"Программист, разработчик",<nil>
128011728,Java-разработчик (Quarkus),1,Москва,,,,9450859,АФЛТ-Системс,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,Опыт коммерческой разработки на Java от 2-х лет. Уверенное владение Spring или Quarkus Framework. Опыт разработки на микросервисной архитектуре.,Реализовывать функционал бэкенда на микросервисной архитектуре. Писать интеграции с внешними системами. Документировать написанный код. Писать юнит-тесты. Взаимодействовать с членами...,Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
128036829,Backend-разработчик,88,Казань,50000,,RUR,12364308,Орпо,remote,Удаленная работа,noExperience,Нет опыта,full,Полная занятость,FULL,Полная,false,"Опыт коммерческой разработки (Backend). Работа с такими стеками как: .NET 7/8, C#, ASP.NET Core. Опыт работы в FinTech сфере.",Работа с обращениями. Автоматизация часто задаваемых вопросов мерчантов. Сбор ответов или оформление задач на отдел разработки. Решение задач Backend-разработки.,Удалённо,6 часов; 7 часов; 8 часов,5/2,"Программист, разработчик",<nil>
127999263,Frontend-разработчик (Junior+),1,Москва,,,,895945,Правительство Москвы,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,Понимание и умение работать и с vanilla js. Уверенные знания работы с ООП в JavaScript. Опыт работы с DOM (включая...,"Разработка и поддержка интерфейса высоконагруженного веб-приложения. Работа с современным и легаси-стеком (React, vanilla JS, jQuery, require.js и др.).",Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
127994891,Разработчик - frontend - в офис в Самаре,78,Самара,130000,250000,RUR,11617594,Умная Перспектива,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"Опыт коммерческой разработки сложных веб-приложений на JavaScript и React от 5 лет. Отличное знание JavaScript (ES6+), React...","Разрабатывать и дорабатывать функционал платформы на JavaScript, React, Material UI (тут идей и работы еще лет на 10 :).",На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
127144203,Junior Java разработчик,1,Москва,80000,,RUR,3011723,НТ Разработки,fullDay,Полный день,noExperience,Нет опыта,full,Полная занятость,FULL,Полная,false,Уверенное знание java. Понимание основ работы web-приложения. Понимание основ алгоритмизации. Опыт работы с NoSQL хранилищами. Знакомство с Spring (Core...,Разработка бэкэнда новых проектов компании. Поддержка существующих проектов компании.,На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
127949578,Frontend-разработчик,103,Абакан,,200000,RUR,8983371,GetMeGit,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"Git - нормальная командная работа, ветки, ревью. — Понимание Agile/Scrum - не как религия, а как инструмент. Будет плюсом. — Понимание CI/CD...","Писать интерфейсные компоненты, нормальные, поддерживаемые, без «лего на костылях». — Клиентская логика на TypeScript + React - современно, строго, без сюрпризов. —",Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
127837488,Python-разработчик (Junior),1,Москва,120000,,RUR,1420559,Веза,fullDay,Полный день,noExperience,Нет опыта,full,Полная занятость,FULL,Полная,false,"Уверенное знание синтаксиса Python, базовых конструкций (переменные, типы данных, условия, циклы, функции). Понимание принципов и применение объектно-ориентированного программирования.",Участие в командных встречах и планировании задач. Сотрудничество с более опытными разработчиками для получения отзывов и обучение. Написание комментариев и...,На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
127928854,Программист Golang,1,Москва,,,,4304968,Гео Техно Сот,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,Высшее техническое образование. Опыт коммерческой разработки на Golang от 3-х лет. Опыт работы с SQL и NoSQL базами данных.,"Разработка отказоустойчивых и надежных сервисов. Использование REST, WebSocket. Создание разнообразных тестов. Формирование архитектуры отдельных приложений и их реализация.",Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
127998087,Senior React Developer. Sherlock,78,Самара,,,,246739,Haulmont,fullDay,Полный день,moreThan6,Более 6 лет,full,Полная занятость,FULL,Полная,false,"Навыки:  Опыт работы Web-разработчиком от пяти лет.  Отличное знание базовых веб-технологий: JavaScript, TypeScript, HTML, CSS.  Отличное знание React.",Ежедневно команда Sherlock вносит вклад в мировую индустрию такси. Задачи:  Разработка Web-приложений и модулей для продукта автоматизации такси-бизнеса.,На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
127836895,Frontend-разработчик,73,Петрозаводск,,,,2713625,НатЛекс,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"Проявляет инициативу, умеет работать в команде и нести ответственность за результат. Будет плюсом: Опыт работы с системами контроля версий (git...",,,8 часов,5/2,"Программист, разработчик",<nil>
128005066,"Middle+/Seniour Frontend-разработчик (WebGL , Three.js)",2,Санкт-Петербург,200000,300000,RUR,675815,ДиКом,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"Знание HTTP, REST API, SCSS. Опыт разработки в WebGL, Three.js от 3 лет. Опыт разработки на Vue/React, TypeScript от...","Работа с 3Д и картами местности – большой блок работ идет по ним. Дизайн разрабатываем в Figma, задачи ставим в...",Гибрид,8 часов,Свободный,"Программист, разработчик",<nil>
127827964,Backend Developer (Python),1,Москва,,,,4624254,XWAY,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"Уверенное знание Python. Опыт работы с FastAPI. Опыт работы с Django, Django ORM, DRF. Опыт работы с Celery.",Разработка и поддержка backend приложений на FastAPI. Разработка и поддержка backend приложений на Django + DRF. Разработка и поддержка backend...,Гибрид,9 часов,5/2,"Программист, разработчик",<nil>
128002623,Middle+ php developer,1,Москва,,350000,RUR,9966858,Tiger Technologies,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"Опыт работы с РНР от 3 лет, уверенное владение РНР 8. Знание принципов современной разработки, SOLID и паттерны проектирования, умение...","Разработка новых и доработка существующих бизнес-функций выскогонагруженных проектов с потребностями проекта. Разработка новых API интеграций, поддержка и доработка существующих.",На месте работодателя; Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
127802464,Стажер-разработчик,1,Москва,,,,1540212,Koderline,fullDay,Полный день,noExperience,Нет опыта,full,Полная занятость,FULL,Полная,false,"Грамотная устная и письменная речь. Умение структурировано и чётко излагать свои мысли. Желание развиваться в сфере ИТ, готовность к самообучению...",Стажировка и последующее трудоустройство в аккредитованную ИТ-компанию с большой экспертизой и методологической базой ведения проектов. Теоретические и практические задачи...,,8 часов,5/2,"Программист, разработчик",<nil>
127912199,Frontend-разработчик,1,Москва,,,,87021,WILDBERRIES,remote,Удаленная работа,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"JavaScript, TypeScript. React. State Management (Recoil, React Query). HTML, CSS-modules (SASS). Vitest. Высокую самостоятельность, в том числе, в принятии...",Создавать высококачественные веб-приложения с использованием фреймворка React. Работать с дизайн-макетами и уметь их преобразовывать в интерактивные пользовательские интерфейсы.,Удалённо; Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
127593136,Программист Python (Junior),76,Ростов-на-Дону,70000,,RUR,5451293,Раздоров и Компания,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"Знание Python (уверенный начальный или средний уровень, готовность развиваться в backend-разработке). Понимание принципов ООП и чистого кода.",,,8 часов,5/2,"Программист, разработчик",<nil>
127876382,C#/. NET-разработчик,1,Москва,,,,7837,BMW,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"Опыт разработки на C# / .NET Core от 5 лет. Уверенные знания PostgreSQL, MSSQL. Понимание основных компонентов и возможностей платформы .NET. (","Обеспечение поддержки функционального обслуживания и эксплуатации приложений в соответствии с бизнес-требованиями к доступности, производительности и стабильности локально разработанных и...",Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
127869919,Frontend-разработчик,1,Москва,250000,,RUR,6076281,SHiFT AM,fullDay,Полный день,between1And3,От 1 года до 3 лет,full,Полная занятость,FULL,Полная,false,"Typescript, React, Redux. Будет плюсом: Wagmi, Viem, Next, Python, FastAPI, PostgreSQL, SQLAlchemy. Опыт web3 разработки.",Верстка по макетам от дизайнера. Создание UI-компонентов. Оптимизация производительности. Поддержка пользовательских интерфейсов. Рефакторинг кода. Прохождение и проведение код-ревью.,На месте работодателя,8 часов,5/2,"Программист, разработчик",<nil>
128026745,Team Lead Frontend Developer,1,Москва,,,,5402004,Lenkep recruitment,remote,Удаленная работа,moreThan6,Более 6 лет,full,Полная занятость,FULL,Полная,false,"Что для важно в опыте: Опыт работы от 5+ лет в разработке фронта, последние 2+ года на позиции...",Lead Frontend Разработчик будет заниматься лидированием фронтенд разработки продукта. Ты будешь отвечать за определение архитектурных решений и за формирование технологической...,Удалённо,8 часов,5/2,"Программист, разработчик",<nil>
127907291,Frontend-разработчик (React.js),53,Краснодар,,,,4851335,Justice IT,remote,Удаленная работа,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,"имеет коммерческий опыт работы от 3 лет (проекты, которые делались во время обучения на различных платформах не учитываются). -",План найма: - назначение внутреннего скрининга. - назначение технического интервью. - оффер.,Удалённо,8 часов,5/2,"Программист, разработчик",<nil>
128011580,"Middle Python Developer (в Бильбао, Испания)",1,Москва,,,,3244995,the_covert,fullDay,Полный день,between3And6,От 3 до 6 лет,full,Полная занятость,FULL,Полная,false,4+ лет коммерческого опыта в Python. Отличное знание FastAPI и REST API. Опыт работы с SQL и ORM (SQLAlchemy...,Разрабатывать и поддерживать highload-системы на Python. Проектировать и развивать FastAPI web-сервисы. Работать над knowledge graph-алгоритмами (tree-sitter...,На месте работодателя; Гибрид,8 часов,5/2,"Программист, разработчик",<nil>
127362191,Go-разработчик Junior (Golang developer),1,Москва,80000,,RUR,11451145,Workmate,remote,Удаленная работа,noExperience,Нет опыта,full,Полная занятость,FULL,Полная,true,"Практический опыт в разработке бекендов, API, сервисов на Golang (плюс если высоконагруженных). Знание основ архитектуры приложений (микросервисы, монолит, DDD).",,Удалённо,8 часов,5/2,"Программист, разработчик",<nil>
